id,title,category,nutrition,ayurveda,notes,content
whole-soy-(साबुत-सोया),Whole Soy (साबुत सोया),"Cereals,Pulses,Lentils & Legumes","{'calories': '446.0', 'protein': '36.0', 'carbs': '30.0', 'fats': '19.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}","High protein , dense food.","Whole Soy (साबुत सोया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 446.0
- Protein: 36.0
- Carbohydrates: 30.0
- Fats: 19.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: High protein , dense food."
ripe-pea-beans-(मटर-बीन्स),Ripe Pea Beans (मटर बीन्स),"Cereals,Pulses,Lentils & Legumes","{'calories': '344.0', 'protein': '23.0', 'carbs': '62.0', 'fats': '1.2'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good source of plant protein.,"Ripe Pea Beans (मटर बीन्स) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 344.0
- Protein: 23.0
- Carbohydrates: 62.0
- Fats: 1.2

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good source of plant protein."
kabuli-chana-flour-(काबुली-चना-आटा),Kabuli Chana Flour (काबुली चना आटा),"Cereals,Pulses,Lentils & Legumes","{'calories': '387.0', 'protein': '22.0', 'carbs': '58.0', 'fats': '6.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Good for protein; used in gluten-free diets.,"Kabuli Chana Flour (काबुली चना आटा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 387.0
- Protein: 22.0
- Carbohydrates: 58.0
- Fats: 6.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Good for protein; used in gluten-free diets."
red-lobia-(लाल-लोबिया),Red Lobia (लाल लोबिया),"Cereals,Pulses,Lentils & Legumes","{'calories': '336.0', 'protein': '23.0', 'carbs': '61.0', 'fats': '1.3'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Rich in iron; slow digestion.,"Red Lobia (लाल लोबिया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 336.0
- Protein: 23.0
- Carbohydrates: 61.0
- Fats: 1.3

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Rich in iron; slow digestion."
white-lobia-(सफेद-लोबिया),White Lobia (सफेद लोबिया),"Cereals,Pulses,Lentils & Legumes","{'calories': '333.0', 'protein': '22.5', 'carbs': '60.0', 'fats': '1.4'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Helps in weight management.,"White Lobia (सफेद लोबिया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 333.0
- Protein: 22.5
- Carbohydrates: 60.0
- Fats: 1.4

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Helps in weight management."
dal-makhani-beans-(दाल-माखनी-दाल),Dal Makhani Beans (दाल माखनी दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '350.0', 'protein': '25.0', 'carbs': '59.0', 'fats': '1.4'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↑'}",Rich and strengthening.,"Dal Makhani Beans (दाल माखनी दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 350.0
- Protein: 25.0
- Carbohydrates: 59.0
- Fats: 1.4

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↑

Notes: Rich and strengthening."
bambara-groundnuts-(बाम्बारा),Bambara Groundnuts (बाम्बारा),"Cereals,Pulses,Lentils & Legumes","{'calories': '400.0', 'protein': '20.0', 'carbs': '60.0', 'fats': '6.0'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}",High fiber and minerals.,"Bambara Groundnuts (बाम्बारा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 400.0
- Protein: 20.0
- Carbohydrates: 60.0
- Fats: 6.0

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: High fiber and minerals."
dry-chickpeas-(सूखा-चना),Dry Chickpeas (सूखा चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '364.0', 'protein': '19.0', 'carbs': '61.0', 'fats': '6.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Used commonly for flour and snacks.,"Dry Chickpeas (सूखा चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 364.0
- Protein: 19.0
- Carbohydrates: 61.0
- Fats: 6.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Used commonly for flour and snacks."
whole-green-peas-(साबुत-हरी-मटर),Whole Green Peas (साबुत हरी मटर),"Cereals,Pulses,Lentils & Legumes","{'calories': '352.0', 'protein': '23.0', 'carbs': '63.0', 'fats': '1.0'}","{'rasa': 'Sweet Astringent (मधुर कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good for soups.,"Whole Green Peas (साबुत हरी मटर) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 352.0
- Protein: 23.0
- Carbohydrates: 63.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Sweet Astringent (मधुर कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good for soups."
split-horse-gram-(कुल्थी-दाल),Split Horse Gram (कुल्थी दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '321.0', 'protein': '22.0', 'carbs': '57.2', 'fats': '0.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Great for weight loss and kidney issues.,"Split Horse Gram (कुल्थी दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 321.0
- Protein: 22.0
- Carbohydrates: 57.2
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Great for weight loss and kidney issues."
split-bengal-gram-(चना-दाल-धुली),Split Bengal Gram (चना दाल धुली),"Cereals,Pulses,Lentils & Legumes","{'calories': '364.0', 'protein': '20.8', 'carbs': '60.0', 'fats': '5.6'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Strengthening but hard to digest.,"Split Bengal Gram (चना दाल धुली) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 364.0
- Protein: 20.8
- Carbohydrates: 60.0
- Fats: 5.6

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Strengthening but hard to digest."
whole-yellow-peas-(पीली-साबुत-मटर),Whole Yellow Peas (पीली साबुत मटर),"Cereals,Pulses,Lentils & Legumes","{'calories': '348.0', 'protein': '23.0', 'carbs': '62.0', 'fats': '1.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Helpful in fiber-rich diets.,"Whole Yellow Peas (पीली साबुत मटर) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 348.0
- Protein: 23.0
- Carbohydrates: 62.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Helpful in fiber-rich diets."
canned-kidney-beans-(डिब्बाबंद-राजमा),Canned Kidney Beans (डिब्बाबंद राजमा),"Cereals,Pulses,Lentils & Legumes","{'calories': '132.0', 'protein': '8.7', 'carbs': '21.0', 'fats': '0.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Easier to digest than dry beans.,"Canned Kidney Beans (डिब्बाबंद राजमा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 132.0
- Protein: 8.7
- Carbohydrates: 21.0
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Easier to digest than dry beans."
whole-red-lentils-(लाल-साबुत-मसूर),Whole Red Lentils (लाल साबुत मसूर),"Cereals,Pulses,Lentils & Legumes","{'calories': '329.0', 'protein': '25.0', 'carbs': '59.0', 'fats': '1.4'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good for heart health.,"Whole Red Lentils (लाल साबुत मसूर) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 329.0
- Protein: 25.0
- Carbohydrates: 59.0
- Fats: 1.4

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good for heart health."
roasted-chana-(भुना-चना),Roasted Chana (भुना चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '365.0', 'protein': '22.0', 'carbs': '60.0', 'fats': '5.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Dry (रुक्ष)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Light snack; high protein.,"Roasted Chana (भुना चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 365.0
- Protein: 22.0
- Carbohydrates: 60.0
- Fats: 5.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Dry (रुक्ष)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Light snack; high protein."
steamed-soybeans-(उबला-सोया),Steamed Soybeans (उबला सोया),"Cereals,Pulses,Lentils & Legumes","{'calories': '172.0', 'protein': '17.0', 'carbs': '10.0', 'fats': '8.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}",Improves muscle mass.,"Steamed Soybeans (उबला सोया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 172.0
- Protein: 17.0
- Carbohydrates: 10.0
- Fats: 8.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: Improves muscle mass."
cooked-lentils-(पकी-मसूर-दाल),Cooked Lentils (पकी मसूर दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '116.0', 'protein': '9.0', 'carbs': '20.0', 'fats': '0.4'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Very easy to digest.,"Cooked Lentils (पकी मसूर दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 116.0
- Protein: 9.0
- Carbohydrates: 20.0
- Fats: 0.4

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Very easy to digest."
cooked-moong-dal-(पकी-मूंग-दाल),Cooked Moong Dal (पकी मूंग दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '105.0', 'protein': '7.2', 'carbs': '19.0', 'fats': '0.3'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Ideal for weak digestion.,"Cooked Moong Dal (पकी मूंग दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 105.0
- Protein: 7.2
- Carbohydrates: 19.0
- Fats: 0.3

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Ideal for weak digestion."
cooked-urad-dal-(पकी-उड़द-दाल),Cooked Urad Dal (पकी उड़द दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '150.0', 'protein': '12.0', 'carbs': '25.0', 'fats': '1.0'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↑'}",Rich but heavy food.,"Cooked Urad Dal (पकी उड़द दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 150.0
- Protein: 12.0
- Carbohydrates: 25.0
- Fats: 1.0

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↑ Kapha↑

Notes: Rich but heavy food."
cooked-chana-dal-(पकी-चना-दाल),Cooked Chana Dal (पकी चना दाल),"Cereals,Pulses,Lentils & Legumes","{'calories': '135.0', 'protein': '9.0', 'carbs': '20.0', 'fats': '4.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↑ Kapha↓'}",Good protein for meals.,"Cooked Chana Dal (पकी चना दाल) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 135.0
- Protein: 9.0
- Carbohydrates: 20.0
- Fats: 4.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↑ Kapha↓

Notes: Good protein for meals."
boiled-rajma-(उबला-राजमा),Boiled Rajma (उबला राजमा),"Cereals,Pulses,Lentils & Legumes","{'calories': '127.0', 'protein': '8.7', 'carbs': '18.0', 'fats': '0.5'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Gentler on digestion than dry.,"Boiled Rajma (उबला राजमा) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 127.0
- Protein: 8.7
- Carbohydrates: 18.0
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Gentler on digestion than dry."
boiled-chole-(उबला-चना),Boiled Chole (उबला चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '164.0', 'protein': '8.0', 'carbs': '27.0', 'fats': '2.6'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good for salads & bowls.,"Boiled Chole (उबला चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 164.0
- Protein: 8.0
- Carbohydrates: 27.0
- Fats: 2.6

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good for salads & bowls."
boiled-green-peas-(उबली-हरी-मटर),Boiled Green Peas (उबली हरी मटर),"Cereals,Pulses,Lentils & Legumes","{'calories': '84.0', 'protein': '5.0', 'carbs': '15.0', 'fats': '0.4'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↑'}",Good for digestion.,"Boiled Green Peas (उबली हरी मटर) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 84.0
- Protein: 5.0
- Carbohydrates: 15.0
- Fats: 0.4

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↑

Notes: Good for digestion."
roasted-soybeans-(भुना-सोया),Roasted Soybeans (भुना सोया),"Cereals,Pulses,Lentils & Legumes","{'calories': '432.0', 'protein': '36.0', 'carbs': '30.0', 'fats': '19.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Cooling (शीत)', 'guna': 'Heavy (गुरु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↑'}",Crunchy high-protein snack.,"Roasted Soybeans (भुना सोया) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 432.0
- Protein: 36.0
- Carbohydrates: 30.0
- Fats: 19.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Heavy (गुरु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↑ Pitta↓ Kapha↑

Notes: Crunchy high-protein snack."
steamed-chickpeas-(स्टीम्ड-चना),Steamed Chickpeas (स्टीम्ड चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '160.0', 'protein': '8.0', 'carbs': '25.0', 'fats': '2.0'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Better digestibility.,"Steamed Chickpeas (स्टीम्ड चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 160.0
- Protein: 8.0
- Carbohydrates: 25.0
- Fats: 2.0

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Better digestibility."
boiled-black-chana-(उबला-काला-चना),Boiled Black Chana (उबला काला चना),"Cereals,Pulses,Lentils & Legumes","{'calories': '164.0', 'protein': '9.0', 'carbs': '27.0', 'fats': '2.6'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Rich in minerals.,"Boiled Black Chana (उबला काला चना) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 164.0
- Protein: 9.0
- Carbohydrates: 27.0
- Fats: 2.6

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Rich in minerals."
cooked-matki-(पकी-मटकी),Cooked Matki (पकी मटकी),"Cereals,Pulses,Lentils & Legumes","{'calories': '97.0', 'protein': '7.0', 'carbs': '18.0', 'fats': '0.8'}","{'rasa': 'Astringent (कषाय)', 'virya': 'Heating (उष्ण)', 'guna': 'Light (लघु)', 'vipaka': 'Pungent (कटु)', 'dosha_effects': 'Vata↑ Pitta↓ Kapha↓'}",Good for weight loss.,"Cooked Matki (पकी मटकी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 97.0
- Protein: 7.0
- Carbohydrates: 18.0
- Fats: 0.8

Ayurvedic Properties:
- Rasa (Taste): Astringent (कषाय)
- Virya (Potency): Heating (उष्ण)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Pungent (कटु)
- Dosha Effects: Vata↑ Pitta↓ Kapha↓

Notes: Good for weight loss."
moong-sprout-curry-(मूंग-अंकुरित-सब्ज़ी),Moong Sprout Curry (मूंग अंकुरित सब्ज़ी),"Cereals,Pulses,Lentils & Legumes","{'calories': '53.0', 'protein': '4.0', 'carbs': '8.0', 'fats': '0.2'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Very sattvic & detoxifying.,"Moong Sprout Curry (मूंग अंकुरित सब्ज़ी) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 53.0
- Protein: 4.0
- Carbohydrates: 8.0
- Fats: 0.2

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Very sattvic & detoxifying."
cooked-green-gram-(पका-साबुत-मूंग),Cooked Green Gram (पका साबुत मूंग),"Cereals,Pulses,Lentils & Legumes","{'calories': '116.0', 'protein': '8.0', 'carbs': '20.0', 'fats': '0.5'}","{'rasa': 'Sweet (मधुर)', 'virya': 'Cooling (शीत)', 'guna': 'Light (लघु)', 'vipaka': 'Sweet (मधुर)', 'dosha_effects': 'Vata↓ Pitta↓ Kapha↓'}",Excellent for digestive issues.,"Cooked Green Gram (पका साबुत मूंग) (Cereals,Pulses,Lentils & Legumes)
                
Nutritional Information (per 100g):
- Calories: 116.0
- Protein: 8.0
- Carbohydrates: 20.0
- Fats: 0.5

Ayurvedic Properties:
- Rasa (Taste): Sweet (मधुर)
- Virya (Potency): Cooling (शीत)
- Guna (Quality): Light (लघु)
- Vipaka (Post-digestive Effect): Sweet (मधुर)
- Dosha Effects: Vata↓ Pitta↓ Kapha↓

Notes: Excellent for digestive issues."
