Food Item (खाद्य पदार्थ),"Cereals,Pulses,Lentils & Legumes",Calories (per 100g),Protein (g),Carbs(g),Fats(g),Rasa (Taste) (रस),Virya (Potency) (वीर्य),Guna (Quality) (गुण),Vipaka (Post-digestive) (विपाक),Suitable for (Vata/Pitta/Kapha),Notes (Digestion / Special Effects),,,,,,
Whole Red Chori Beans (लाल चोरी बीन्स),"Cereals,Pulses,Lentils & Legumes",343,22,61,1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good plant protein.,,,,,,
Boiled Red Chori Beans (उबले चोरी बीन्स),"Cereals,Pulses,Lentils & Legumes",115,7,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light digestion.,,,,,,
Whole Green Chori Beans (हरी चूरी बीन्स),"Cereals,Pulses,Lentils & Legumes",343,22,62,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Great for muscle growth.,,,,,,
Boiled Green Chori Beans (उबली चूरी बीन्स),"Cereals,Pulses,Lentils & Legumes",118,7.2,19,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easy on stomach.,,,,,,
Whole Red Gram (साबुत अरहर),"Cereals,Pulses,Lentils & Legumes",343,22.3,57,1.5,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,Nutrient-dense.,,,,,,
Roasted Red Gram (भुना अरहर),"Cereals,Pulses,Lentils & Legumes",350,23,55,1.8,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,Rich and strengthening.,,,,,,
Cooked Red Gram (पका अरहर),"Cereals,Pulses,Lentils & Legumes",125,9,20,0.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Gentle on digestion.,,,,,,
Dry Bambara Nuts (सूखे बाम्बारा नट्स),"Cereals,Pulses,Lentils & Legumes",400,20,60,6,Sweet Astringent (मधुर कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High mineral food.,,,,,,
Boiled Bambara Nuts (उबले बाम्बारा नट्स),"Cereals,Pulses,Lentils & Legumes",150,9,20,4,Sweet Astringent (मधुर कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,More digestible than dry.,,,,,,
Whole Field Peas (फील्ड मटर),"Cereals,Pulses,Lentils & Legumes",347,22,62,1.1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for fiber intake.,,,,,,
Boiled Field Peas (उबली फील्ड मटर),"Cereals,Pulses,Lentils & Legumes",130,8,22,0.5,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,"Light, nutritious.",,,,,,
Whole Brown Lentils (भूरी मसूर),"Cereals,Pulses,Lentils & Legumes",353,25.4,60,1.2,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Regulates blood sugar.,,,,,,
Boiled Brown Lentils (उबली भूरी मसूर),"Cereals,Pulses,Lentils & Legumes",116,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easy to digest.,,,,,,
Dry Red Kidney Beans (सूखे लाल राजमा),"Cereals,Pulses,Lentils & Legumes",337,22.9,60.6,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High fiber but gas-forming.,,,,,,
Boiled Whole Peas (उबली साबुत मटर),"Cereals,Pulses,Lentils & Legumes",81,5.4,14.5,0.5,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Light and nutritious.,,,,,,
Dry Fava Beans (सूखे बाकला),"Cereals,Pulses,Lentils & Legumes",341,21.1,58.3,1.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↑,High in protein and minerals.,,,,,,
Dark Red Lentils (गहरे लाल मसूर),"Cereals,Pulses,Lentils & Legumes",350,25.2,59,1.1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Very rich in iron.,,,,,,
Boiled Red Lentils (उबले लाल मसूर),"Cereals,Pulses,Lentils & Legumes",116,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very light digestive food.,,,,,,
Whole Cowpeas (साबुत लोबिया),"Cereals,Pulses,Lentils & Legumes",343,24,60,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for protein intake.,,,,,,
Boiled Cowpeas (उबली लोबिया),"Cereals,Pulses,Lentils & Legumes",140,8.5,24,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Safer on digestion.,,,,,,
Whole Red Lentils (साबुत लाल मसूर),"Cereals,Pulses,Lentils & Legumes",329,25,59,1.4,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Beneficial for heart health.,,,,,,
Cooked Whole Rajma (पका साबुत राजमा),"Cereals,Pulses,Lentils & Legumes",127,8.7,19,0.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for meals but heavy.,,,,,,
Black-eyed Pea Flour (लोबिया आटा),"Cereals,Pulses,Lentils & Legumes",375,24,60,1.4,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Used in high-protein recipes.,,,,,,
Whole Split Peas (साबुत दाल मटर),"Cereals,Pulses,Lentils & Legumes",348,24,62,1.1,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good dietary fiber.,,,,,,
Cooked Split Peas (पकी दाल मटर),"Cereals,Pulses,Lentils & Legumes",125,8,20,0.5,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Suitable for digestive issues.,,,,,,
Dry Hyacinth Beans (सूखे सेम),"Cereals,Pulses,Lentils & Legumes",330,22,60,0.8,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Great for energy.,,,,,,
Boiled Hyacinth Beans (उबली सेम),"Cereals,Pulses,Lentils & Legumes",130,7.5,21,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Better digestibility.,,,,,,
Dry Black Chori Beans (सूखी काली चूरी),"Cereals,Pulses,Lentils & Legumes",343,23,61,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High fiber & minerals.,,,,,,
Boiled Black Chori Beans (उबली काली चूरी),"Cereals,Pulses,Lentils & Legumes",118,7,19,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easier to digest.,,,,,,
Brown Chickpeas Boiled (उबला भूरा चना),"Cereals,Pulses,Lentils & Legumes",164,9,27,2.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in fiber.,,,,,,
Whole Navy Peas (साबुत नेवी मटर),"Cereals,Pulses,Lentils & Legumes",345,23,61.2,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High protein.,,,,,,
Boiled Navy Peas (उबले नेवी मटर),"Cereals,Pulses,Lentils & Legumes",135,8.2,22,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and healthy.,,,,,,
Dry Whole Chana (सूखा साबुत चना),"Cereals,Pulses,Lentils & Legumes",364,20,61,5.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,High-protein staple.,,,,,,
Cooked Whole Chana (पका साबुत चना),"Cereals,Pulses,Lentils & Legumes",164,9,27,2.6,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good in salads and snacks.,,,,,,
Whole Green Gram (साबुत हरा मूंग),"Cereals,Pulses,Lentils & Legumes",347,24,63,1.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Highly sattvic and light.,,,,,,
Steamed Green Gram (स्टीम्ड हरा मूंग),"Cereals,Pulses,Lentils & Legumes",114,8,19,0.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Excellent detox food.,,,,,,
Boiled Whole Soybeans (उबले साबुत सोया),"Cereals,Pulses,Lentils & Legumes",170,17,10,8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Rich in protein & fats.,,,,,,
Dry White Gram (सूखा सफेद चना),"Cereals,Pulses,Lentils & Legumes",365,18,61,6.5,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Nutritious and dense.,,,,,,
Boiled White Gram (उबला सफेद चना),"Cereals,Pulses,Lentils & Legumes",160,9,27,2.6,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for salads.,,,,,,
Whole Bengal Gram (साबुत चना),"Cereals,Pulses,Lentils & Legumes",360,20.5,62,5.5,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Great for stamina.,,,,,,
Whole Lentils Brown (साबुत भूरी दाल),"Cereals,Pulses,Lentils & Legumes",352,25,59,1.1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good protein source.,,,,,,
Green Pea Flour (हरी मटर आटा),"Cereals,Pulses,Lentils & Legumes",360,26,55,1.5,Astringent (कषाय),Cooling (शीत),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Used in gluten-free dishes.,,,,,,
Cooked Green Pea Flour (पका हरी मटर आटा),"Cereals,Pulses,Lentils & Legumes",132,6,20,0.5,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Very light and alkaline.,,,,,,
Dry White Lobia (सूखी सफेद लोबिया),"Cereals,Pulses,Lentils & Legumes",338,22.5,61.2,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in fiber.,,,,,,
Boiled White Lobia (उबली सफेद लोबिया),"Cereals,Pulses,Lentils & Legumes",138,8.2,24,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and nutritious.,,,,,,
Dry Red Peas (सूखी लाल मटर),"Cereals,Pulses,Lentils & Legumes",345,22,62,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for soups.,,,,,,
Boiled Red Peas (उबली लाल मटर),"Cereals,Pulses,Lentils & Legumes",125,7.5,21,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Gentle on digestion.,,,,,,
Roasted Black Chana Flour (भुना काला चना आटा),"Cereals,Pulses,Lentils & Legumes",385,21,58,6,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Protein-rich flour.,,,,,,
Peeled Moong Dal (मूंग दाल छिलका उतरा),"Cereals,Pulses,Lentils & Legumes",347,25,63,1.1,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Most easily digestible dal.,,,,,,
Cooked Peeled Moong (पकी मूंग दाल),"Cereals,Pulses,Lentils & Legumes",110,8,19,0.3,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Ideal for sick patients.,,,,,,
Dry Red Soybeans (सूखा लाल सोया),"Cereals,Pulses,Lentils & Legumes",446,35,30,19,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High in protein.,,,,,,
Boiled Red Soybeans (उबला लाल सोया),"Cereals,Pulses,Lentils & Legumes",170,16,10,8,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High nutrition.,,,,,,
Dry Val Beans (सूखी वल बीन्स),"Cereals,Pulses,Lentils & Legumes",333,22,61,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Used in curries.,,,,,,
Boiled Val Beans (उबली वल बीन्स),"Cereals,Pulses,Lentils & Legumes",135,8,22,0.3,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easy to digest.,,,,,,
Dry Syrian Lentils (सीरियाई दाल),"Cereals,Pulses,Lentils & Legumes",348,24,60,1.1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good plant protein.,,,,,,
Boiled Syrian Lentils (उबली सीरियाई दाल),"Cereals,Pulses,Lentils & Legumes",115,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light digestive.,,,,,,
Dry Romano Beans (सूखे रोमानो बीन्स),"Cereals,Pulses,Lentils & Legumes",338,22.5,60,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High fiber.,,,,,,
Boiled Romano Beans (उबले रोमानो बीन्स),"Cereals,Pulses,Lentils & Legumes",140,8.3,23,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Soft and easy.,,,,,,
Whole Harbhara (साबुत हरभरा),"Cereals,Pulses,Lentils & Legumes",364,20,61,5.6,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Used in flours.,,,,,,
Fresh Green Gram (ताजा हरा मूंग),"Cereals,Pulses,Lentils & Legumes",319,23.5,59,1.4,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Highly sattvic.,,,,,,
Cooked Green Gram Soup (मूंग सूप),"Cereals,Pulses,Lentils & Legumes",65,5,10,0.2,Sweet (मधुर),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Very light detox food.,,,,,,
Dry Butter Peas (सूखे बटर मटर),"Cereals,Pulses,Lentils & Legumes",348,22,62,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for fiber.,,,,,,
Cooked Butter Peas (पकी बटर मटर),"Cereals,Pulses,Lentils & Legumes",125,7,20,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,"Mild taste, easy digestion.",,,,,,
Dry Turkish Beans (सूखे तुर्की बीन्स),"Cereals,Pulses,Lentils & Legumes",335,22,61,1.3,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in minerals.,,,,,,
Boiled Turkish Beans (उबले तुर्की बीन्स),"Cereals,Pulses,Lentils & Legumes",138,8,24,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Simplifies digestion.,,,,,,
Dry Puy Lentils (सूखी प्यूई दाल),"Cereals,Pulses,Lentils & Legumes",352,26,59,1.2,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Mineral-rich lentils.,,,,,,
Boiled Puy Lentils (उबली प्यूई दाल),"Cereals,Pulses,Lentils & Legumes",116,10,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Soft and light.,,,,,,
Whole Masoor Beans (साबुत मसूर बीन्स),"Cereals,Pulses,Lentils & Legumes",329,25,59,1.3,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good plant protein.,,,,,,
Cooked Masoor Beans (पकी मसूर बीन्स),"Cereals,Pulses,Lentils & Legumes",116,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very light Dal.,,,,,,
Dry String Beans (सूखी स्ट्रिंग बीन्स),"Cereals,Pulses,Lentils & Legumes",336,22,60,1.2,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Used in curries.,,,,,,
Cooked String Beans (पकी स्ट्रिंग बीन्स),"Cereals,Pulses,Lentils & Legumes",125,7,20,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Very gentle on digestion.,,,,,,
Dry Chickpea Kernels (सूखे चना कोर),"Cereals,Pulses,Lentils & Legumes",362,21,60,6.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Protein-rich legumes.,,,,,,
Cooked Chickpea Kernels (उबले चना कोर),"Cereals,Pulses,Lentils & Legumes",162,8.5,27,2.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for salads and meals.,,,,,,
Dry Rosecoco Beans (सूखे रोजकोको बीन्स),"Cereals,Pulses,Lentils & Legumes",335,22.5,61,1.1,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in minerals.,,,,,,
Boiled Rosecoco Beans (उबले रोजकोको बीन्स),"Cereals,Pulses,Lentils & Legumes",136,8,23,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and nutritious.,,,,,,
Dry White Beans (सूखे सफेद बीन्स),"Cereals,Pulses,Lentils & Legumes",336,21,62,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High in fiber.,,,,,,
Boiled White Beans (उबले सफेद बीन्स),"Cereals,Pulses,Lentils & Legumes",132,7.5,23,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Easy on digestion.,,,,,,
Dry Yellow Peas (सूखी पीली मटर),"Cereals,Pulses,Lentils & Legumes",347,23,62,1.1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Good for dal and soups.,,,,,,
Boiled Yellow Peas (उबली पीली मटर),"Cereals,Pulses,Lentils & Legumes",130,8,21,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Light nutritious.,,,,,,
Dry Sattur Dal (सूखी सत्तूर दाल),"Cereals,Pulses,Lentils & Legumes",352,24,59,1.2,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Used in Tamil cuisine.,,,,,,
Boiled Sattur Dal (पकी सत्तूर दाल),"Cereals,Pulses,Lentils & Legumes",118,9,20,0.5,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very light and healthy.,,,,,,
Dry Small Haricot Beans (सूखे छोटे हेरिकॉट बीन्स),"Cereals,Pulses,Lentils & Legumes",334,22,62,1.2,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Used in stews.,,,,,,
Boiled Small Haricot Beans (उबले छोटे हेरिकॉट बीन्स),"Cereals,Pulses,Lentils & Legumes",136,7.8,23,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Good for digestion.,,,,,,
Dry Black Turtle Beans (सूखे काले टर्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",339,21.5,62,1.4,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High antioxidants.,,,,,,
Boiled Black Turtle Beans (उबले काले टर्टल बीन्स),"Cereals,Pulses,Lentils & Legumes",139,8.5,23,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easier to digest.,,,,,,
Dry Giant Beans (सूखे जायंट बीन्स),"Cereals,Pulses,Lentils & Legumes",335,21,61,1,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,Large-sized legumes.,,,,,,
Boiled Giant Beans (उबले जायंट बीन्स),"Cereals,Pulses,Lentils & Legumes",135,7.5,23,0.4,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Soft and digestible.,,,,,,
Dry Pink Lentils (सूखी गुलाबी दाल),"Cereals,Pulses,Lentils & Legumes",350,25,59,1.1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,High iron content.,,,,,,
Boiled Pink Lentils (उबली गुलाबी दाल),"Cereals,Pulses,Lentils & Legumes",116,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Light and healthy.,,,,,,
Dry White Chori Beans (सूखी सफेद चूरी),"Cereals,Pulses,Lentils & Legumes",341,23,61,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Good for varied dishes.,,,,,,
Boiled White Chori Beans (उबली सफेद चूरी),"Cereals,Pulses,Lentils & Legumes",118,7.2,19,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Easily digestible.,,,,,,
Dry Lima Beans (सूखी लीमा बीन्स),"Cereals,Pulses,Lentils & Legumes",338,21.4,63.4,0.7,Astringent (कषाय),Cooling (शीत),Heavy (गुरु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↑,High folate content.,,,,,,
Boiled Lima Beans (उबली लीमा बीन्स),"Cereals,Pulses,Lentils & Legumes",134,7.8,23,0.3,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↑,Good digestion.,,,,,,
Dry Roman Lentils (सूखी रोमन दाल),"Cereals,Pulses,Lentils & Legumes",349,25,59,1.1,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Nutrient rich.,,,,,,
Boiled Roman Lentils (उबली रोमन दाल),"Cereals,Pulses,Lentils & Legumes",115,9,20,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Very light food.,,,,,,
Dry Broad Field Beans (सूखी चौड़ी फील्ड बीन्स),"Cereals,Pulses,Lentils & Legumes",341,21,58,1.6,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↑,High fiber.,,,,,,
Boiled Broad Field Beans (उबली चौड़ी फील्ड बीन्स),"Cereals,Pulses,Lentils & Legumes",137,8,22,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Digestible.,,,,,,
Dry Pigeon Peas (सूखा अरहर),"Cereals,Pulses,Lentils & Legumes",343,22,57,1.7,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,High fiber dal.,,,,,,
Cooked Pigeon Peas (पका अरहर),"Cereals,Pulses,Lentils & Legumes",125,8.9,20,0.5,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Very light digestion.,,,,,,
Dry Kidney Peas (सूखे किडनी मटर),"Cereals,Pulses,Lentils & Legumes",338,21.5,62,1.2,Astringent (कषाय),Heating (उष्ण),Heavy (गुरु),Pungent (कटु),Vata↑ Pitta↓ Kapha↓,Rich in minerals.,,,,,,
Boiled Kidney Peas (उबले किडनी मटर),"Cereals,Pulses,Lentils & Legumes",136,7.8,23,0.4,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Good for digestion.,,,,,,
Dry Bengal Gram Flour (सूखा चना आटा),"Cereals,Pulses,Lentils & Legumes",387,22,57,6.6,Astringent (कषाय),Heating (उष्ण),Dry (रुक्ष),Pungent (कटु),Vata↑ Pitta↑ Kapha↓,Used in sweets and snacks.,,,,,,
Boiled Bengal Gram Flour Mix (उबला बेसन मिश्रण),"Cereals,Pulses,Lentils & Legumes",150,7,22,3,Astringent (कषाय),Heating (उष्ण),Light (लघु),Pungent (कटु),Vata↓ Pitta↓ Kapha↓,Lighter digestion.,,,,,,
Dry Red Gram Flour (सूखा अरहर आटा),"Cereals,Pulses,Lentils & Legumes",356,20,58,2.5,Sweet Astringent (मधुर कषाय),Heating (उष्ण),Dry (रुक्ष),Sweet (मधुर),Vata↑ Pitta↑ Kapha↓,Good for protein.,,,,,,
Boiled Red Gram Flour Mix (उबला अरहर आटा मिश्रण),"Cereals,Pulses,Lentils & Legumes",147,8,23,1,Sweet (मधुर),Heating (उष्ण),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Very light.,,,,,,
Dry Green Pea Split Dal (सूखी हरी मटर दाल),"Cereals,Pulses,Lentils & Legumes",349,25,61,1.1,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↑ Pitta↓ Kapha↓,Popular in soups.,,,,,,
Boiled Green Pea Dal (उबली हरी मटर दाल),"Cereals,Pulses,Lentils & Legumes",132,6.5,20,0.5,Astringent (कषाय),Cooling (शीत),Light (लघु),Sweet (मधुर),Vata↓ Pitta↓ Kapha↓,Gentle on stomach.,,,,,,
